dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FruitFlies, 8192, 1, 1, 1, 93.70183563232422, 368188.0, 6.76681, 0.127392, 2591790.0, 0.345997
FruitFlies, 8192, 1, 10, 1, 93.70183563232422, 1997850.0, 2.14212, 0.0768544, 1563610.0, 0.0384686
FruitFlies, 8192, 1, 22, 1, 93.70183563232422, 5895490.0, 0.949569, 0.0432833, 880602.0, 0.00734177
FruitFlies, 8192, 1, 32, 1, 93.70183563232422, 12957700.0, 0.597081, 0.0286143, 582160.0, 0.00220828
