dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FordA, 8192, 1, 1, 1, 89.54545593261719, 686047.0, 4.82844, 0.0898156, 2740950.0, 0.130917
FordA, 8192, 1, 10, 1, 89.54545593261719, 3720950.0, 1.53056, 0.0541765, 1653340.0, 0.0145598
FordA, 8192, 1, 22, 1, 89.54545593261719, 10798200.0, 0.723882, 0.0305162, 931281.0, 0.00282605
FordA, 8192, 1, 32, 1, 89.54545593261719, 23671500.0, 0.434813, 0.0201741, 615664.0, 0.000852252
