dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FordB, 4096, 1, 1, 1, 77.90123748779297, 366738.0, 4.92931, 0.0450291, 2748360.0, 0.122783
FordB, 4096, 1, 10, 1, 77.90123748779297, 1988320.0, 1.56341, 0.0271612, 1657790.0, 0.0136604
FordB, 4096, 1, 22, 1, 77.90123748779297, 5872260.0, 0.738267, 0.0152993, 933796.0, 0.00260535
FordB, 4096, 1, 32, 1, 77.90123748779297, 12908600.0, 0.443581, 0.0101143, 617327.0, 0.000783531
