dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FordA, 2048, 1, 1, 1, 81.51515197753906, 191909.0, 3.00114, 0.0295069, 3601920.0, 0.153755
FordA, 2048, 1, 10, 1, 81.51515197753906, 1068140.0, 0.909238, 0.0158677, 1936970.0, 0.0148555
FordA, 2048, 1, 22, 1, 81.51515197753906, 3233180.0, 0.389184, 0.00764805, 933599.0, 0.00236549
FordA, 2048, 1, 32, 1, 81.51515197753906, 7140480.0, 0.243196, 0.00529486, 646346.0, 0.000741528
