dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
InsectSound, 4096, 8, 22, 1, 68.93199920654297, 10587900.0, 3.34999, 0.0809569, 988243.0, 0.0076462
InsectSound, 4096, 8, 22, 3, 68.93199920654297, 17673600.0, 6.02934, 0.0933727, 1139800.0, 0.00528317
InsectSound, 4096, 8, 22, 6, 68.93199920654297, 17362000.0, 6.33086, 0.0923427, 1127230.0, 0.00531866
InsectSound, 4096, 8, 32, 1, 68.93199920654297, 23510700.0, 2.34466, 0.0504488, 615830.0, 0.00214578
InsectSound, 4096, 8, 32, 3, 68.93199920654297, 39328400.0, 3.97159, 0.0581858, 710275.0, 0.00147948
InsectSound, 4096, 8, 32, 6, 68.93199920654297, 38648800.0, 3.90556, 0.0575439, 702441.0, 0.00148889
InsectSound, 4096, 4, 22, 1, 68.93199920654297, 10587900.0, 3.34999, 0.0809569, 988243.0, 0.0076462
InsectSound, 4096, 4, 22, 3, 68.93199920654297, 17673600.0, 6.02934, 0.0933727, 1139800.0, 0.00528317
InsectSound, 4096, 4, 22, 6, 68.93199920654297, 17362000.0, 6.33086, 0.0923427, 1127230.0, 0.00531866
InsectSound, 4096, 4, 32, 1, 68.93199920654297, 23510700.0, 2.34466, 0.0504488, 615830.0, 0.00214578
InsectSound, 4096, 4, 32, 3, 68.93199920654297, 39328400.0, 3.97159, 0.0581858, 710275.0, 0.00147948
InsectSound, 4096, 4, 32, 6, 68.93199920654297, 38648800.0, 3.90556, 0.0575439, 702441.0, 0.00148889
InsectSound, 4096, 1, 22, 1, 68.93199920654297, 10587900.0, 3.34999, 0.0809569, 988243.0, 0.0076462
InsectSound, 4096, 1, 22, 3, 68.93199920654297, 17673600.0, 6.02934, 0.0933727, 1139800.0, 0.00528317
InsectSound, 4096, 1, 22, 6, 68.93199920654297, 17362000.0, 6.33086, 0.0923427, 1127230.0, 0.00531866
InsectSound, 4096, 1, 32, 1, 68.93199920654297, 23510700.0, 2.34466, 0.0504488, 615830.0, 0.00214578
InsectSound, 4096, 1, 32, 3, 68.93199920654297, 39328400.0, 3.97159, 0.0581858, 710275.0, 0.00147948
InsectSound, 4096, 1, 32, 6, 68.93199920654297, 38648800.0, 3.90556, 0.0575439, 702441.0, 0.00148889
