dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FordB, 4096, 1, 22, 1, 77.90123748779297, 35951000.0, 0.758788, 0.0144, 878904.0, 0.000400544
FordB, 4096, 1, 32, 1, 77.90123748779297, 79745000.0, 0.459396, 0.00953475, 581955.0, 0.000119565
