dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FruitFlies, 2048, 1, 1, 1, 92.28228759765625, 113768.0, 6.90939, 0.0492177, 4005350.0, 0.432615
FruitFlies, 2048, 1, 10, 1, 92.28228759765625, 617283.0, 2.18719, 0.0297733, 2422950.0, 0.0482328
FruitFlies, 2048, 1, 22, 1, 92.28228759765625, 1904660.0, 0.968014, 0.0167225, 1360880.0, 0.00877976
FruitFlies, 2048, 1, 32, 1, 92.28228759765625, 4214640.0, 0.608865, 0.0110551, 899667.0, 0.00262303
