dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
InsectSound, 2048, 1, 22, 1, 65.58799743652344, 29559500.0, 1.10686, 0.0515053, 1257450.0, 0.00174243
InsectSound, 2048, 1, 22, 2, 65.58799743652344, 9778000.0, 2.68272, 0.043905, 1071900.0, 0.00449019
InsectSound, 2048, 1, 22, 4, 65.58799743652344, 9185950.0, 3.65644, 0.0492715, 1202920.0, 0.00536378
InsectSound, 2048, 1, 22, 8, 65.58799743652344, 15467800.0, 4.01915, 0.0512939, 1252290.0, 0.00331617
InsectSound, 2048, 1, 32, 1, 65.58799743652344, 65748800.0, 0.709568, 0.0341035, 832606.0, 0.000518695
InsectSound, 2048, 1, 32, 2, 65.58799743652344, 21750700.0, 1.80609, 0.0290711, 709745.0, 0.00133656
InsectSound, 2048, 1, 32, 4, 65.58799743652344, 20488800.0, 2.30592, 0.0326244, 796495.0, 0.00159231
InsectSound, 2048, 1, 32, 8, 65.58799743652344, 34530700.0, 2.38087, 0.0339636, 829189.0, 0.000983575
