dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FordB, 2048, 1, 1, 1, 64.1975326538086, 203581.0, 4.97159, 0.0356662, 4353790.0, 0.175194
FordB, 2048, 1, 10, 1, 64.1975326538086, 1097560.0, 1.57793, 0.0215756, 2633740.0, 0.0196577
FordB, 2048, 1, 22, 1, 64.1975326538086, 3322320.0, 0.744683, 0.0121181, 1479270.0, 0.0036475
FordB, 2048, 1, 32, 1, 64.1975326538086, 7333870.0, 0.447468, 0.00801122, 977933.0, 0.00109236
