dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FruitFlies, 8192, 1, 22, 1, 93.70183563232422, 35974300.0, 0.98773, 0.040739, 828837.0, 0.00113245
FruitFlies, 8192, 1, 22, 2, 93.70183563232422, 64513800.0, 1.2196, 0.0427116, 868969.0, 0.000662053
FruitFlies, 8192, 1, 32, 1, 93.70183563232422, 79794100.0, 0.620761, 0.0269748, 548803.0, 0.000338055
FruitFlies, 8192, 1, 32, 2, 93.70183563232422, 143121000.0, 0.73619, 0.0282809, 575376.0, 0.000197601
