dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
InsectSound, 4096, 1, 22, 1, 69.45999908447266, 55597300.0, 1.1046, 0.0674346, 823176.0, 0.00121291
InsectSound, 4096, 1, 22, 2, 69.45999908447266, 18411500.0, 2.68305, 0.0604242, 737600.0, 0.00328186
InsectSound, 4096, 1, 22, 4, 69.45999908447266, 17133100.0, 3.60108, 0.0653197, 797359.0, 0.00381248
InsectSound, 4096, 1, 22, 8, 69.45999908447266, 29053700.0, 3.92753, 0.0670726, 818758.0, 0.00230858
InsectSound, 4096, 1, 32, 1, 69.45999908447266, 123450000.0, 0.704104, 0.0446509, 545055.0, 0.000361691
InsectSound, 4096, 1, 32, 2, 69.45999908447266, 40887000.0, 1.79168, 0.0400091, 488392.0, 0.000978527
InsectSound, 4096, 1, 32, 4, 69.45999908447266, 38160900.0, 2.26032, 0.0432506, 527961.0, 0.00113337
InsectSound, 4096, 1, 32, 8, 69.45999908447266, 64726400.0, 2.32806, 0.0444113, 542130.0, 0.000686139
