dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FordA, 2048, 1, 1, 1, 81.51515197753906, 203581.0, 4.95522, 0.0356662, 4353790.0, 0.175194
FordA, 2048, 1, 10, 1, 81.51515197753906, 1097560.0, 1.57419, 0.0215756, 2633740.0, 0.0196577
FordA, 2048, 1, 22, 1, 81.51515197753906, 3322320.0, 0.742981, 0.0121181, 1479270.0, 0.0036475
FordA, 2048, 1, 32, 1, 81.51515197753906, 7333870.0, 0.446515, 0.00801122, 977933.0, 0.00109236
