dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
InsectSound, 8192, 1, 22, 1, 72.31999969482422, 105943000.0, 1.09776, 0.134258, 819445.0, 0.00126727
InsectSound, 8192, 1, 22, 2, 72.31999969482422, 35579800.0, 2.65156, 0.120357, 734603.0, 0.00338274
InsectSound, 8192, 1, 22, 4, 72.31999969482422, 32296800.0, 3.54788, 0.130066, 793858.0, 0.0040272
InsectSound, 8192, 1, 22, 8, 72.31999969482422, 55764700.0, 3.77, 0.133898, 817250.0, 0.00240113
InsectSound, 8192, 1, 32, 1, 72.31999969482422, 234895000.0, 0.696384, 0.0888971, 542585.0, 0.000378455
InsectSound, 8192, 1, 32, 2, 72.31999969482422, 78944900.0, 1.75531, 0.079693, 486407.0, 0.00100948
InsectSound, 8192, 1, 32, 4, 72.31999969482422, 71786000.0, 2.21794, 0.0861213, 525643.0, 0.00119969
InsectSound, 8192, 1, 32, 8, 72.31999969482422, 124086000.0, 2.23472, 0.0886589, 541131.0, 0.000714495
