dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FruitFlies, 2048, 1, 22, 1, 92.36920166015625, 10170800.0, 1.0127, 0.0157395, 1280880.0, 0.00154751
FruitFlies, 2048, 1, 22, 2, 92.36920166015625, 17775800.0, 1.30175, 0.0168729, 1373120.0, 0.000949204
FruitFlies, 2048, 1, 32, 1, 92.36920166015625, 22638100.0, 0.644138, 0.0104217, 848118.0, 0.00046036
FruitFlies, 2048, 1, 32, 2, 92.36920166015625, 39561600.0, 0.791209, 0.0111721, 909192.0, 0.000282398
