dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FruitFlies, 4096, 1, 22, 1, 93.5569839477539, 19030400.0, 0.995295, 0.0204198, 830882.0, 0.00107301
FruitFlies, 4096, 1, 22, 2, 93.5569839477539, 33521500.0, 1.27109, 0.0214111, 871218.0, 0.000638726
FruitFlies, 4096, 1, 32, 1, 93.5569839477539, 42297500.0, 0.630816, 0.0135207, 550158.0, 0.000319657
FruitFlies, 4096, 1, 32, 2, 93.5569839477539, 74453200.0, 0.771184, 0.014177, 576865.0, 0.000190415
