dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
InsectSound, 4096, 1, 22, 1, 68.93199920654297, 55597300.0, 1.10412, 0.0674346, 823176.0, 0.00121291
InsectSound, 4096, 1, 22, 2, 68.93199920654297, 18411500.0, 2.68155, 0.0604242, 737600.0, 0.00328186
InsectSound, 4096, 1, 22, 4, 68.93199920654297, 17133100.0, 3.60017, 0.0653197, 797359.0, 0.00381248
InsectSound, 4096, 1, 22, 8, 68.93199920654297, 29053700.0, 3.92752, 0.0670726, 818758.0, 0.00230858
InsectSound, 4096, 1, 32, 1, 68.93199920654297, 123450000.0, 0.703968, 0.0446509, 545055.0, 0.000361691
InsectSound, 4096, 1, 32, 2, 68.93199920654297, 40887000.0, 1.79121, 0.0400091, 488392.0, 0.000978527
InsectSound, 4096, 1, 32, 4, 68.93199920654297, 38160900.0, 2.26007, 0.0432506, 527961.0, 0.00113337
InsectSound, 4096, 1, 32, 8, 68.93199920654297, 64726400.0, 2.32806, 0.0444113, 542130.0, 0.000686139
