dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FordB, 8192, 1, 1, 1, 80.37036895751953, 686047.0, 4.87427, 0.0898156, 2740950.0, 0.130917
FordB, 8192, 1, 10, 1, 80.37036895751953, 3720950.0, 1.54098, 0.0541765, 1653340.0, 0.0145598
FordB, 8192, 1, 22, 1, 80.37036895751953, 10798200.0, 0.728013, 0.0305162, 931281.0, 0.00282605
FordB, 8192, 1, 32, 1, 80.37036895751953, 23671500.0, 0.437345, 0.0201741, 615664.0, 0.000852252
