dataset, dim, speedUpDegree, technode, cellBit, Accuracy, ChipArea_um^2, Energy_Efficiency_TOPS/W, Throughput_TOPS, Throughput_FPS, Compute_Efficiency_TOPS/mm^2
FordA, 8192, 1, 1, 1, 89.54545593261719, 643433.0, 2.95517, 0.076455, 2333220.0, 0.118824
FordA, 8192, 1, 10, 1, 89.54545593261719, 3611630.0, 0.894658, 0.0411145, 1254720.0, 0.0113839
FordA, 8192, 1, 22, 1, 89.54545593261719, 10476300.0, 0.383973, 0.0198168, 604759.0, 0.00189159
FordA, 8192, 1, 32, 1, 89.54545593261719, 22976200.0, 0.239749, 0.0137195, 418685.0, 0.000597115
